Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Jul  3 23:59:20 2026
Invocation: foremost -t jpg,png,gif,pdf,zip -q -o /cases/cases/8c944918-7791-4e09-9e58-7d414c5be9be/artifacts/f907b737-1c98-4055-96c4-5d13008909ba/out/foremost -i /cases/cases/8c944918-7791-4e09-9e58-7d414c5be9be/evidence/0948aadd-a962-47c3-9f93-2c373f2fe502/original.raw 
Output directory: /cases/cases/8c944918-7791-4e09-9e58-7d414c5be9be/artifacts/f907b737-1c98-4055-96c4-5d13008909ba/out/foremost
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: /cases/cases/8c944918-7791-4e09-9e58-7d414c5be9be/evidence/0948aadd-a962-47c3-9f93-2c373f2fe502/original.raw
Start: Fri Jul  3 23:59:20 2026
Length: 1 GB (1189085184 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 
54:	00654688.png 	       1 KB 	  335200256 	  (20 x 22)
55:	00654696.png 	       1 KB 	  335204352 	  (20 x 22)
56:	00654704.png 	      978 B 	  335208448 	  (20 x 22)
57:	00654712.png 	      978 B 	  335212544 	  (20 x 22)
58:	00654720.png 	      971 B 	  335216640 	  (20 x 22)
59:	00654728.png 	      971 B 	  335220736 	  (20 x 22)
60:	00654736.png 	      983 B 	  335224832 	  (20 x 22)
61:	00654744.png 	      983 B 	  335228928 	  (20 x 22)
62:	00654752.png 	       1 KB 	  335233024 	  (20 x 22)
63:	00654760.png 	       1 KB 	  335237120 	  (20 x 22)
64:	00654768.png 	       1 KB 	  335241216 	  (20 x 22)
65:	00654776.png 	       1 KB 	  335245312 	  (20 x 22)
66:	00654784.png 	       1 KB 	  335249408 	  (20 x 22)
67:	00654792.png 	       1 KB 	  335253504 	  (20 x 22)
68:	00654800.png 	       1 KB 	  335257600 	  (20 x 22)
69:	00654808.png 	       1 KB 	  335261696 	  (20 x 22)
70:	00654816.png 	       1 KB 	  335265792 	  (20 x 22)
71:	00654824.png 	       1 KB 	  335269888 	  (20 x 22)
72:	00654832.png 	     1017 B 	  335273984 	  (20 x 22)
73:	00654840.png 	     1017 B 	  335278080 	  (20 x 22)
74:	00654848.png 	     1010 B 	  335282176 	  (20 x 22)
75:	00654856.png 	     1010 B 	  335286272 	  (20 x 22)
76:	00654864.png 	     1022 B 	  335290368 	  (20 x 22)
77:	00654872.png 	     1022 B 	  335294464 	  (20 x 22)
78:	00654880.png 	       5 KB 	  335298560 	  (75 x 99)
79:	00654904.png 	      298 B 	  335310848 	  (20 x 22)
80:	00654920.png 	      310 B 	  335319040 	  (20 x 22)
81:	00654936.png 	      304 B 	  335327232 	  (20 x 22)
82:	00654952.png 	      259 B 	  335335424 	  (20 x 22)
83:	00654968.png 	      279 B 	  335343616 	  (20 x 22)
84:	00654984.png 	      272 B 	  335351808 	  (20 x 22)
85:	00655000.png 	      276 B 	  335360000 	  (20 x 22)
86:	00655016.png 	      258 B 	  335368192 	  (20 x 22)
87:	00655032.png 	      277 B 	  335376384 	  (20 x 22)
88:	00655048.png 	      273 B 	  335384576 	  (20 x 22)
89:	00655064.png 	      275 B 	  335392768 	  (20 x 22)
90:	00655080.png 	      259 B 	  335400960 	  (20 x 22)
91:	00655096.png 	      319 B 	  335409152 	  (20 x 22)
92:	00655112.png 	      303 B 	  335417344 	  (20 x 22)
93:	00655128.png 	      329 B 	  335425536 	  (20 x 22)
94:	00655144.png 	      254 B 	  335433728 	  (20 x 22)
95:	00655160.png 	      328 B 	  335441920 	  (20 x 22)
96:	00655176.png 	      333 B 	  335450112 	  (20 x 22)
97:	00655192.png 	      290 B 	  335458304 	  (20 x 22)
98:	00655216.png 	      181 B 	  335470592 	  (16 x 16)
99:	00655232.png 	      172 B 	  335478784 	  (16 x 16)
100:	00655248.png 	      178 B 	  335486976 	  (16 x 16)
101:	00655264.png 	      100 B 	  335495168 	  (16 x 16)
102:	00655280.png 	      184 B 	  335503360 	  (16 x 16)
103:	00655296.png 	      210 B 	  335511552 	  (16 x 16)
104:	00655312.png 	      216 B 	  335519744 	  (16 x 16)
105:	00655328.png 	      215 B 	  335527936 	  (16 x 16)
106:	00655344.png 	      212 B 	  335536128 	  (16 x 16)
107:	00655360.png 	      163 B 	  335544320 	  (16 x 16)
108:	00655376.png 	      222 B 	  335552512 	  (16 x 16)
109:	00655392.png 	      196 B 	  335560704 	  (16 x 16)
110:	00655408.png 	      180 B 	  335568896 	  (16 x 16)
111:	00655424.png 	      174 B 	  335577088 	  (16 x 16)
112:	00655440.png 	      149 B 	  335585280 	  (16 x 16)
113:	00655456.png 	      179 B 	  335593472 	  (16 x 16)
114:	00655472.png 	      171 B 	  335601664 	  (16 x 16)
115:	00655488.png 	      197 B 	  335609856 	  (16 x 16)
116:	00655504.png 	      203 B 	  335618048 	  (16 x 16)
117:	00655520.png 	      225 B 	  335626240 	  (16 x 16)
118:	00655536.png 	      210 B 	  335634432 	  (16 x 16)
119:	00655552.png 	      159 B 	  335642624 	  (16 x 16)
120:	00655568.png 	      211 B 	  335650816 	  (16 x 16)
121:	00655584.png 	      217 B 	  335659008 	  (16 x 16)
122:	00655600.png 	       2 KB 	  335667200 	  (559 x 14)
123:	00655616.png 	      197 B 	  335675392 	  (16 x 16)
124:	00655632.png 	      171 B 	  335683584 	  (16 x 16)
125:	00655648.png 	      173 B 	  335691776 	  (16 x 16)
126:	00655664.png 	      163 B 	  335699968 	  (16 x 16)
127:	00655680.png 	      211 B 	  335708160 	  (16 x 16)
128:	00655696.png 	      172 B 	  335716352 	  (16 x 16)
129:	00655712.png 	      166 B 	  335724544 	  (16 x 16)
130:	00655728.png 	      331 B 	  335732736 	  (20 x 22)
131:	00655744.png 	      315 B 	  335740928 	  (20 x 22)
132:	00655760.png 	      347 B 	  335749120 	  (20 x 22)
133:	00655776.png 	      339 B 	  335757312 	  (20 x 22)
134:	00655784.png 	     1010 B 	  335761408 	  (20 x 22)
135:	00655800.png 	      261 B 	  335769600 	  (20 x 22)
136:	00655816.png 	      310 B 	  335777792 	  (20 x 22)
137:	00655832.png 	      288 B 	  335785984 	  (20 x 22)
138:	00655848.png 	      334 B 	  335794176 	  (20 x 22)
139:	00655864.png 	      307 B 	  335802368 	  (20 x 22)
140:	00655880.png 	      255 B 	  335810560 	  (20 x 22)
141:	00655896.png 	      296 B 	  335818752 	  (20 x 22)
142:	00655912.png 	      296 B 	  335826944 	  (20 x 22)
143:	00655928.png 	      332 B 	  335835136 	  (20 x 22)
144:	00655944.png 	      363 B 	  335843328 	  (20 x 22)
145:	00655952.png 	       1 KB 	  335847424 	  (20 x 22)
146:	00653296.gif 	      246 B 	  334487552 	  (20 x 22)
147:	00653312.gif 	      242 B 	  334495744 	  (20 x 22)
148:	00653328.gif 	      247 B 	  334503936 	  (20 x 22)
149:	00653344.gif 	       4 KB 	  334512128 	  (260 x 30)
150:	00653912.gif 	       4 KB 	  334802944 	  (261 x 30)
151:	00653952.gif 	      216 B 	  334823424 	  (20 x 22)
152:	00653968.gif 	      233 B 	  334831616 	  (20 x 22)
153:	00653984.gif 	      205 B 	  334839808 	  (20 x 22)
154:	00654000.gif 	      246 B 	  334848000 	  (20 x 22)
155:	00654016.gif 	      246 B 	  334856192 	  (20 x 22)
156:	00654032.gif 	      148 B 	  334864384 	  (20 x 22)
157:	00654048.gif 	      308 B 	  334872576 	  (20 x 22)
158:	00654064.gif 	      251 B 	  334880768 	  (20 x 22)
159:	00654080.gif 	      268 B 	  334888960 	  (20 x 22)
160:	00654096.gif 	      247 B 	  334897152 	  (20 x 22)
161:	00654112.gif 	      235 B 	  334905344 	  (20 x 22)
162:	00654128.gif 	      242 B 	  334913536 	  (20 x 22)
163:	00654144.gif 	      251 B 	  334921728 	  (20 x 22)
164:	00654160.gif 	      246 B 	  334929920 	  (20 x 22)
165:	00654176.gif 	       1 KB 	  334938112 	  (20 x 22)
166:	00654192.gif 	      214 B 	  334946304 	  (20 x 22)
167:	00654208.gif 	      225 B 	  334954496 	  (20 x 22)
168:	00654224.gif 	      167 B 	  334962688 	  (20 x 22)
169:	00654240.gif 	      163 B 	  334970880 	  (20 x 22)
170:	00654256.gif 	      238 B 	  334979072 	  (20 x 22)
171:	00654272.gif 	      236 B 	  334987264 	  (20 x 22)
172:	00654288.gif 	      225 B 	  334995456 	  (20 x 22)
173:	00654296.gif 	      242 B 	  334999552 	  (27 x 22)
174:	00654320.gif 	      243 B 	  335011840 	  (20 x 22)
175:	00654336.gif 	      219 B 	  335020032 	  (20 x 22)
176:	00654352.gif 	      221 B 	  335028224 	  (20 x 22)
177:	00654368.gif 	      220 B 	  335036416 	  (20 x 22)
178:	00654384.gif 	      249 B 	  335044608 	  (20 x 22)
179:	00654400.gif 	      217 B 	  335052800 	  (20 x 22)
180:	00654416.gif 	      223 B 	  335060992 	  (20 x 22)
181:	00654432.gif 	      11 KB 	  335069184 	  (480 x 524)
182:	00654480.gif 	      274 B 	  335093760 	  (20 x 22)
183:	00654496.gif 	      309 B 	  335101952 	  (20 x 22)
184:	00654512.gif 	      286 B 	  335110144 	  (20 x 22)
185:	00654528.gif 	      268 B 	  335118336 	  (20 x 22)
186:	00654544.gif 	      276 B 	  335126528 	  (20 x 22)
187:	00654560.gif 	      172 B 	  335134720 	  (20 x 22)
188:	00654576.gif 	      249 B 	  335142912 	  (20 x 22)
189:	00654592.gif 	      243 B 	  335151104 	  (20 x 22)
190:	00654896.gif 	      237 B 	  335306752 	  (20 x 22)
191:	00654912.gif 	      251 B 	  335314944 	  (20 x 22)
192:	00654928.gif 	      249 B 	  335323136 	  (20 x 22)
193:	00654944.gif 	      188 B 	  335331328 	  (20 x 22)
194:	00654960.gif 	      198 B 	  335339520 	  (20 x 22)
195:	00654976.gif 	      198 B 	  335347712 	  (20 x 22)
196:	00654992.gif 	      191 B 	  335355904 	  (20 x 22)
197:	00655008.gif 	      193 B 	  335364096 	  (20 x 22)
198:	00655024.gif 	      189 B 	  335372288 	  (20 x 22)
199:	00655040.gif 	      186 B 	  335380480 	  (20 x 22)
200:	00655056.gif 	      185 B 	  335388672 	  (20 x 22)
201:	00655072.gif 	      173 B 	  335396864 	  (20 x 22)
202:	00655088.gif 	      254 B 	  335405056 	  (20 x 22)
203:	00655104.gif 	      244 B 	  335413248 	  (20 x 22)
204:	00655120.gif 	      267 B 	  335421440 	  (20 x 22)
205:	00655136.gif 	      172 B 	  335429632 	  (20 x 22)
206:	00655152.gif 	      258 B 	  335437824 	  (20 x 22)
207:	00655168.gif 	      263 B 	  335446016 	  (20 x 22)
208:	00655184.gif 	      242 B 	  335454208 	  (20 x 22)
209:	00655208.gif 	      129 B 	  335466496 	  (16 x 16)
210:	00655224.gif 	      134 B 	  335474688 	  (16 x 16)
211:	00655240.gif 	      131 B 	  335482880 	  (16 x 16)
212:	00655256.gif 	       55 B 	  335491072 	  (16 x 16)
213:	00655272.gif 	      139 B 	  335499264 	  (16 x 16)
214:	00655288.gif 	      128 B 	  335507456 	  (16 x 16)
215:	00655304.gif 	      130 B 	  335515648 	  (16 x 16)
216:	00655320.gif 	      131 B 	  335523840 	  (16 x 16)
217:	00655336.gif 	      128 B 	  335532032 	  (16 x 16)
218:	00655352.gif 	      114 B 	  335540224 	  (16 x 16)
219:	00655368.gif 	      191 B 	  335548416 	  (16 x 16)
220:	00655384.gif 	      132 B 	  335556608 	  (16 x 16)
221:	00655400.gif 	      122 B 	  335564800 	  (16 x 16)
222:	00655416.gif 	      125 B 	  335572992 	  (16 x 16)
223:	00655432.gif 	      116 B 	  335581184 	  (16 x 16)
224:	00655448.gif 	      127 B 	  335589376 	  (16 x 16)
225:	00655464.gif 	      113 B 	  335597568 	  (16 x 16)
226:	00655480.gif 	      126 B 	  335605760 	  (16 x 16)
227:	00655496.gif 	      138 B 	  335613952 	  (16 x 16)
228:	00655512.gif 	      145 B 	  335622144 	  (16 x 16)
229:	00655528.gif 	      187 B 	  335630336 	  (16 x 16)
230:	00655544.gif 	      134 B 	  335638528 	  (16 x 16)
231:	00655560.gif 	      182 B 	  335646720 	  (16 x 16)
232:	00655576.gif 	      184 B 	  335654912 	  (16 x 16)
233:	00655592.gif 	       3 KB 	  335663104 	  (559 x 14)
234:	00655608.gif 	      130 B 	  335671296 	  (16 x 16)
235:	00655624.gif 	      119 B 	  335679488 	  (16 x 16)
236:	00655640.gif 	      132 B 	  335687680 	  (16 x 16)
237:	00655656.gif 	      128 B 	  335695872 	  (16 x 16)
238:	00655672.gif 	      124 B 	  335704064 	  (16 x 16)
239:	00655688.gif 	      131 B 	  335712256 	  (16 x 16)
240:	00655704.gif 	      125 B 	  335720448 	  (16 x 16)
241:	00655720.gif 	      248 B 	  335728640 	  (20 x 22)
242:	00655736.gif 	      221 B 	  335736832 	  (20 x 22)
243:	00655752.gif 	      285 B 	  335745024 	  (20 x 22)
244:	00655768.gif 	      264 B 	  335753216 	  (20 x 22)
245:	00655792.gif 	      219 B 	  335765504 	  (20 x 22)
246:	00655808.gif 	      251 B 	  335773696 	  (20 x 22)
247:	00655824.gif 	      229 B 	  335781888 	  (20 x 22)
248:	00655840.gif 	      242 B 	  335790080 	  (20 x 22)
249:	00655856.gif 	      245 B 	  335798272 	  (20 x 22)
250:	00655872.gif 	      164 B 	  335806464 	  (20 x 22)
251:	00655888.gif 	      236 B 	  335814656 	  (20 x 22)
252:	00655904.gif 	      236 B 	  335822848 	  (20 x 22)
253:	00655920.gif 	      228 B 	  335831040 	  (20 x 22)
254:	00655936.gif 	      261 B 	  335839232 	  (20 x 22)
255:	00671840.gif 	      458 B 	  343982080 	  (94 x 68)
256:	00903000.jpg 	       3 KB 	  462336000 	 
257:	00903008.jpg 	       3 KB 	  462340096 	 
258:	00903016.jpg 	       2 KB 	  462344192 	 
259:	00903024.jpg 	       2 KB 	  462348288 	 
260:	00903032.jpg 	       4 KB 	  462352384 	 
261:	00850856.png 	       1 KB 	  435638272 	  (48 x 48)
262:	00891392.png 	       4 KB 	  456392704 	  (151 x 46)
263:	00891408.png 	      299 B 	  456400896 	  (10 x 19)
264:	00891416.png 	      761 B 	  456404992 	  (20 x 23)
265:	00891424.png 	       8 KB 	  456409088 	  (200 x 114)
266:	00891448.png 	       4 KB 	  456421376 	  (105 x 60)
267:	00891464.png 	      464 B 	  456429568 	  (20 x 22)
268:	00891472.png 	      423 B 	  456433664 	  (20 x 17)
269:	00902624.png 	      150 B 	  462143488 	  (1 x 1)
270:	00902632.png 	      150 B 	  462147584 	  (1 x 1)
271:	00902792.png 	      167 B 	  462229504 	  (1 x 1)
272:	00902832.png 	      150 B 	  462249984 	  (1 x 1)
273:	00902840.png 	      141 B 	  462254080 	  (1 x 1)
274:	00902984.png 	      667 B 	  462327808 	  (190 x 20)
275:	00902640.gif 	       85 B 	  462151680 	  (12 x 12)
276:	00890496.pdf 	     412 KB 	  455933952 	 
Finish: Fri Jul  3 23:59:21 2026

277 FILES EXTRACTED
	
jpg:= 5
png:= 160
gif:= 111
pdf:= 1
------------------------------------------------------------------

Foremost finished at Fri Jul  3 23:59:21 2026
